date,habit,completed
2026-08-10,water,1
2026-08-10,workout,0
2026-08-10,steps,1
2026-08-10,sleep,1
2026-08-10,meditation,0
2026-08-11,water,1
2026-08-11,workout,1
2026-08-11,steps,1
2026-08-11,sleep,0
2026-08-11,meditation,1
2026-08-12,water,0
2026-08-12,workout,1
2026-08-12,steps,0
2026-08-12,sleep,1
2026-08-12,meditation,1
2026-08-13,water,1
2026-08-13,workout,0
2026-08-13,steps,1
2026-08-13,sleep,1
2026-08-13,meditation,1
2026-08-14,water,1
2026-08-14,workout,1
2026-08-14,steps,1
2026-08-14,sleep,1
2026-08-14,meditation,0
2026-08-15,water,1
2026-08-15,workout,0
2026-08-15,steps,0
2026-08-15,sleep,1
2026-08-15,meditation,1
2026-08-16,water,1
2026-08-16,workout,1
2026-08-16,steps,1
2026-08-16,sleep,1
2026-08-16,meditation,1
